xid,rera_no,state,proj_name,prom_name,project_type,project_sub_type,project_comp_date,proj_status,total_area,num_of_towers,project_address,project_desc
PRM/KA/RERA/1251/308/PR/160824/006973,PRM/KA/RERA/1251/308/PR/160824/006973,Karnatka,DS MAX SKY SANMAN,DS MAX PROPERTIES PRIVATE LIMITED,Residential/Group Housing,Apartment,31-01-2030,New Project Launch,22965,1,"Sy no. 158/1, 158/2 and 158/3 , S. Bingipura Village, Jigani Hobli , Anekal , Bengaluru Urban, Karnataka - 560105",
PRM/KA/RERA/1251/310/PR/120522/004879,PRM/KA/RERA/1251/310/PR/120522/004879,Karnatka,AQUA VISTA,POPPY REALTORS PRIVATE LIMITED,Residential/Group Housing,Apartment,31-12-2024,Ongoing,11707,3,,
PRM/KA/RERA/1251/446/PR/110522/004876,PRM/KA/RERA/1251/446/PR/110522/004876,Karnatka,DSR HIGHLAND GREENZ,DSR INFRA PROJECTS,Residential/Group Housing,Apartment,30-03-2026,New Project Launch,40873,4,,
PRM/KA/RERA/1251/308/PR/060324/006691,PRM/KA/RERA/1251/308/PR/060324/006691,Karnatka,ENGRACE VISTA,MODERN SPAACES VENTURES,Residential/Group Housing,Apartment,30-12-2028,New Project Launch,32577,7,"Sy No 38/1, 38/2, 38/3, 38/4 and 42/2 Khata No: 150200100100923088(2903/38/1 38/2 38/3 38/4 42/2) of Kadaagrahara Village , Sarjapur Hobli, Anekal Taluk , Anekal , Bengaluru Urban, Karnataka - 562125",
PRM/KA/RERA/1251/310/PR/210302/003983,PRM/KA/RERA/1251/310/PR/210302/003983,Karnatka,CONCORDE ABODE 99,CONCORDE MILLENNIUM LLP,Plotted Development,,30-09-2026,New Project Launch,49270,,"Sy No 10/1, 10/2, 10/3, 11/2B, 12/1, 12/2, 17 and 31/1, Ramasagara Village, Attibele Hobli, Anekal Taluk",
PRM/KA/RERA/1251/310/PR/140324/006701,PRM/KA/RERA/1251/310/PR/140324/006701,Karnatka,CASAGRAND AMOR,CASA GRANDE GARDEN CITY BUILDERS PVT LTD,Residential/Group Housing,Apartment,23-02-2028,New Project Launch,31628,1,"SY.NO.20/2, 21, 22 & 23, KHATHA NO.19/SY.NO.20/2, 21, 22 & 23, CHANDRASHEKARAPURA VILLAGE , BEGUR HOBLI, BANGALORE. WARD NO.192 , Bengaluru South , Bengaluru Urban, Karnataka - 560068",
PRM/KA/RERA/1251/308/PR/130622/004973,PRM/KA/RERA/1251/308/PR/130622/004973,Karnatka,ARADHRA,ADISH PROPERTIES,Residential/Group Housing,Apartment,31-01-2026,New Project Launch,4046,3,"Survey No.32/2 , Madiwala Village, Kasaba 2 Hobli, Anekal , Anekal , Bengaluru Urban, Karnataka - 562107",
PRM/KA/RERA/1251/446/PR/180424/006788,PRM/KA/RERA/1251/446/PR/180424/006788,Karnatka,SAI SILICON HEIGHTS,UNITED DEVELOPERS,Mixed Development,,31-12-2027,New Project Launch,11806,3,,
PRM/KA/RERA/1251/308/PR/140622/004983,PRM/KA/RERA/1251/308/PR/140622/004983,Karnatka,RAJ HIGH GARDENS,SNN PROPERTIES LLP,Residential/Group Housing,Apartment,30-04-2028,New Project Launch,36049,3,"Khata No 3188/1 at Sy No 46/3C, 51, 52/3, 52/4, 54/3 of Neraluru Village, , ATTIBELE HOBLI, ANEKAL TALUK , Anekal , Bengaluru Urban, Karnataka - 562107",
PRM/KA/RERA/1251/309/PR/180524/006894,PRM/KA/RERA/1251/309/PR/180524/006894,Karnatka,BRIGADE INSIGNIA,BRIGADE TETRARCH PRIVATE LIMITED,Residential/Group Housing,Apartment,30-06-2029,New Project Launch,23801,6,"Survey No.10/2, 23/1 (Old Sy No 23/1A) and 23/2 (Old Sy No 23/2A) , Venkatala Village, Yelahanka Hobli, Bangalore North Taluk , Bengaluru North , Bengaluru Urban, Karnataka - 560064",
