xid,rera_no,state,proj_name,prom_name,project_type,project_sub_type,project_comp_date,proj_status,total_area,num_of_towers,project_address,project_desc
PRM/KA/RERA/1251/446/PR/300124/006601,PRM/KA/RERA/1251/446/PR/300124/006601,Karnatka,ASSETZ 66 & SHIBUI,APG ENVIRONMENT HOMES PRIVATE LIMITED,Residential/Group Housing,Apartment,30-06-2028,New Project Launch,7385,1,"Sy. No. 3/3 (Old Sy. No. 3/1A1 and 3/1A1a) , K R Puram Hobli, Bengaluru East Taluk, Bengaluru Urban District Whitefield Village , Bengaluru East , Bengaluru Urban, Karnataka - 560066",
PRM/KA/RERA/1251/308/PR/111124/007221,PRM/KA/RERA/1251/308/PR/111124/007221,Karnatka,MAHIDHARA CMR PPR FORTUNE CITY,MAHIDHARA PROJECTS PRIVATE LIMITED,Plotted Development,,30-10-2025,Ongoing,,,"IN SY NO 13/1, 13/2 , 13/3 , 13/4 , 14/1, 14/2 , 22/1 , 23 , 27/2 , 28 , 30 , 31/1A ,47/2 , 49/1 , 49/2 OF , Chikkanahalli Village , Attibele Hobli ,Anekal Thaluk , Bangalore , Anekal , Bengaluru Urban, Karnataka - 562130",
PRM/KA/RERA/1250/304/PR/150224/006622,PRM/KA/RERA/1250/304/PR/150224/006622,Karnatka,DS MAX SKY SAMURAI,DS-MAX PROPERTIES PRIVATE LIMITED,Residential/Group Housing,Apartment,31-12-2028,New Project Launch,7258,1,"SY NO 36/1 OF DEVALAPURA VILLAGE , ANUGONDANAHALLI HOBLI , Hosakote , Bengaluru Rural, Karnataka - 560067",
PRM/KA/RERA/1251/446/PR/250423/005893,PRM/KA/RERA/1251/446/PR/250423/005893,Karnatka,FOLIUM BY SUMADHURA PHASE-II,SUMADHURA INFRACON PRIVATE LIMITED,Residential/Group Housing,Apartment,31-12-2025,New Project Launch,24896,2,,
PRM/KA/RERA/1251/310/PR/300124/006594,PRM/KA/RERA/1251/310/PR/300124/006594,Karnatka,ASSETZ INSPIRA MELODIES OF LIFE,IINSPIRA WORLDCITY PROJECTS PRIVATE LIMITED,Plotted Development,,31-08-2026,New Project Launch,,,"SY. NO-86/1, 86/ 3, 86/ 4, 2/ 1, 2/ 2, 4, 5, 7 ,8/ 1, 8/ 2, 8/ 3, 9, 10 13/ 2, 13/ 3, 14/ 1, 14/ 2, 14/ 3, 15/ 1, 15/ 2, 15/ 3, 16, 17/ 1 , AT K.G. CHOODASANDRA VILLAGE, 120/ 1 and 120/ 3 120/ 4 . AT RAYASANDRA VILLAGE,SARJAPURA HOBLI, ANEKAL TALUK, BANGALORE , Bengaluru South , Bengaluru Urban, Karnataka - 560099",
PRM/KA/RERA/1251/472/PR/070323/005769,PRM/KA/RERA/1251/472/PR/070323/005769,Karnatka,SUMUK SQUARE,SUMUK PROJECTS,Residential/Group Housing,Apartment,25-08-2026,New Project Launch,3140,1,"SY NO 55/5 JARAKEBHANDEKAVAL VILLAGE YELAHANKA HOBLI , YELAHANKA TALUK BANGALORE , Yelahanka , Bengaluru Urban, Karnataka - 560097",
PRM/KA/RERA/1251/446/PR/160523/005939,PRM/KA/RERA/1251/446/PR/160523/005939,Karnatka,SREE URBAN ORCHIDS PHASE-II,SREE BUILDERS AND DEVELOPERS,Residential/Group Housing,Apartment,31-03-2028,New Project Launch,14660,3,"BBMP Katha No 3814,Sy No.39/8,39/9,39/10A.39/12,39/13, Panathur Village, , Varthur Hobli, Bangalore East Taluk , Bengaluru East , Bengaluru Urban, Karnataka - 560087",
PRM/KA/RERA/1251/446/PR/100823/006141,PRM/KA/RERA/1251/446/PR/100823/006141,Karnatka,PRESTIGE PARK GROVE,PRESTIGE PROJECTS PRIVATE LIMITED,Residential/Group Housing,Mixed,31-12-2027,New Project Launch,289573,20,"SY NOS 13/2, 30/1 (p), 30/2, 32, 33/1, 33/2, 33/3, 34/1, 36(P), 38/2, 39/2, 40/1, 40/2, 40/3, 41/1, 41/2, 41/2, 41/3, 42, 43/1, 43/2, 43/3, 44/1A, , 44/1B, 44/2, 44/3, 45/1, 45/2, 46/1A, 46/1B, 46/1C, 46/1D, 46/2, 47/1, 47/2, 47/3, 47/4, 48/1, 48/2, 48/3, 49,50/1 TO 5, 51, 52/1 TO 4 , 53/1, 53/1B, 53/2, 54, 59/1,70/2&3, 70/4, 70/5, 71/1, 71/2, , Bengaluru East , Bengaluru Urban, Karnataka - 560067",
PRM/KA/RERA/1251/309/PR/070324/006697,PRM/KA/RERA/1251/309/PR/070324/006697,Karnatka,CANDEUR NOVO GARDENIA,NOVOLIFE INNOVATIVE STRUCTURES LLP,Residential/Group Housing,Apartment,31-12-2027,Ongoing,12949,3,"Kahta No.7677, Sy no.215/6, 215/7,,215/15 , 215/10, 215/13, 215/17 , Ward No.149, JDTP -NORTHZONE , Gunjur Village , Varthur 149 , Bengaluru North , Bengaluru Urban, Karnataka - 560087",
PRM/KA/RERA/1251/310/PR/190529/002585,PRM/KA/RERA/1251/310/PR/190529/002585,Karnatka,PROVIDENT EQUINOX 2,PROVIDENT HOUSING LIMITED,Residential/Group Housing,,30-06-2024,New Project Launch,8433,,"Sy No 25 and 26 Venkatapura Village , Kengeri Hobli",
PRM/KA/RERA/1251/308/PR/280222/004739,PRM/KA/RERA/1251/308/PR/280222/004739,Karnatka,DS MAX SUKRUTH,DS MAX REALTY PRIVATE LTD,Residential/Group Housing,Apartment,28-02-2026,New Project Launch,10319,1,,
PRM/KA/RERA/1270/302/PR/210731/004204,PRM/KA/RERA/1270/302/PR/210731/004204,Karnatka,SALARPURIA SATTVA ASHRAYA,NEELANCHAL DWELLINGS LLP,Residential/Group Housing,,15-03-2025,New Project Launch,17026,,"Survey No 1 and Survey No 43/3, Lakshmisagara Village, Bidadi Hobli, Ramanagar Taluk",
PRM/KA/RERA/1251/309/PR/060324/006684,PRM/KA/RERA/1251/309/PR/060324/006684,Karnatka,VAJRAM NEWTOWN - II,VAJRAM ESTATES PRIVATE LIMITED,Residential/Group Housing,Apartment,12/1/2028,New Project Launch,9412,1,,
PRM/KA/RERA/1251/308/PR/090623/005986,PRM/KA/RERA/1251/308/PR/090623/005986,Karnatka,LAVIVANT,ATCO PROJECTS PRIVATE LIMITED,Residential/Group Housing,Mixed,25-01-2030,Ongoing,49472,7,,
PRM/KA/RERA/1251/446/PR/250222/004731,PRM/KA/RERA/1251/446/PR/250222/004731,Karnatka,ASPIRE AMBER,SUMADHURA HOMES LLP,Residential/Group Housing,Apartment,31-12-2024,New Project Launch,8195,3,,
PRM/KA/RERA/1251/310/PR/270623/006023,PRM/KA/RERA/1251/310/PR/270623/006023,Karnatka,OCEANUS WHITE MEADOWS,OCEANUS DWELLINGS PVT LTD,Residential/Group Housing,Apartment,31-12-2028,New Project Launch,6070,1,"Sy.No.21/2. Kembathahally Village , Uttarahalli Hobli , Bengaluru South , Bengaluru Urban, Karnataka - 560083",
PRM/KA/RERA/1251/446/PR/100423/005855,PRM/KA/RERA/1251/446/PR/100423/005855,Karnatka,PLATINUM EAST WOODS,PLATINUM - NARYA INFRA,Residential/Group Housing,Apartment,30-03-2027,New Project Launch,8478,1,"SY 191, , Kannamangala Village ,Bidarahalli Hobli , Bengaluru East , Bengaluru Urban, Karnataka - 560067",
PRM/KA/RERA/1251/310/PR/210324/006724,PRM/KA/RERA/1251/310/PR/210324/006724,Karnatka,DS MAX SKY BLOSSOM,DS-MAX PROPERTIES PRIVATE LIMITED,Residential/Group Housing,Apartment,28-02-2029,New Project Launch,6171,1,"SITE/ KHATHA NO: 29 SY NO 134/3, BEGUR , BOMMANAHALLI ZONE , B-LURU .IN WARD NO: 192 , Bengaluru South , Bengaluru Urban, Karnataka - 560068",
PRM/KA/RERA/1250/303/PR/300823/006200,PRM/KA/RERA/1250/303/PR/300823/006200,Karnatka,BIRLA TRIMAYA-PHASE-I,BIRLA ARNAA LLP,Residential/Group Housing,Apartment,31-10-2028,New Project Launch,23356,8,,
PRM/KA/RERA/1251/446/PR/280324/006759,PRM/KA/RERA/1251/446/PR/280324/006759,Karnatka,DSR THE COURTYARD,DSR INFRAPROJECTS,Residential/Group Housing,Apartment,22-02-2027,New Project Launch,11027,3,,
PRM/KA/RERA/1250/304/PR/030524/006836,PRM/KA/RERA/1250/304/PR/030524/006836,Karnatka,ISHA HILIFE,ISHA CORP,Residential/Group Housing,Apartment,31-12-2026,New Project Launch,9712,2,"ISHA CORP, No. 21 Thirumalashettihalli Village, , Anugondanahalli Hobli, Hoskote Taluk, , Hosakote , Bengaluru Rural, Karnataka - 560067",
TOR/PRM/KA/RERA/1251/309/PR/221116/000068,TOR/PRM/KA/RERA/1251/309/PR/221116/000068,Karnatka,SHRIRAM SOLITAIRE,SHRIPROP HOMES PRIVATE LIMITED,Residential/Group Housing,,15-05-2025,Ongoing,12545,,"Survey no 4/4 , Veerasagara village, Attur post, Yelahanka",
PRM/KA/RERA/1251/310/PR/040524/006862,PRM/KA/RERA/1251/310/PR/040524/006862,Karnatka,CASAGRAND CASABLANCA,CASAGRAND LOTUS PRIVATE LIMITED,Residential/Group Housing,Apartment,4/5/2029,New Project Launch,70010,4,"SY.NO.18/1A5, 18/3, 18/1A7,18/1A8,18/1A9,18/1A10,18/1A11 AND 18/1A12 OF MALLASANDRA VILLAGE , UTTARAHALLI HOBLI, WARD NO.198 , Bengaluru South , Bengaluru Urban, Karnataka - 560062",
PRM/KA/RERA/1251/310/PR/011022/005290,PRM/KA/RERA/1251/310/PR/011022/005290,Karnatka,RAJ VIVIENTE,SNN ABODE LLP,Residential/Group Housing,Villa,31-07-2026,New Project Launch,21499,13,"Sy No 55, 56/1, 56/2, 57/3, 57/4, 57/6, 57/5 situated in Kammanahalli Village , Begur Hobli , Bengaluru South , Bengaluru Urban, Karnataka - 560083",
PRM/KA/RERA/1251/308/PR/220424/006827,PRM/KA/RERA/1251/308/PR/220424/006827,Karnatka,RRL PALACIO,RRL BUILDERS AND DEVELOPERS PRIVATE LIMITED,Residential/Group Housing,Apartment,31-12-2026,New Project Launch,5873,2,,
PRM/KA/RERA/1251/472/PR/100823/006138,PRM/KA/RERA/1251/472/PR/100823/006138,Karnatka,SRI BALAJI SERENE,SRI BALAJI STRUCTURES,Residential/Group Housing,Apartment,31-12-2026,New Project Launch,18196,1,,
PRM/KA/RERA/1251/446/PR/220424/006831,PRM/KA/RERA/1251/446/PR/220424/006831,Karnatka,GREEN EDGE SIGNATURE,GREEN EDGE VENTURES,Residential/Group Housing,Apartment,31-12-2026,Ongoing,14771,2,"BBMP Katha No 1482 Sy No 58/2, 60/8, 60/9, 60/10, 60/19, 60/20, 60/21 , SORAHUNASE CROSS SORAHUNASE VARTHUR VILLAGE and HOBLI , Bengaluru East , Bengaluru Urban, Karnataka - 560087",
PRM/KA/RERA/1251/446/PR/090125/007371,PRM/KA/RERA/1251/446/PR/090125/007371,Karnatka,VKK GRAND,VENKY KARTHIK GROUP,Residential/Group Housing,Apartment,30-06-2026,Ongoing,5564,2,"Khatha No. 116, Sy. No. 144/2, Horamavu Agara Village , K. R. Puram Hobli, Ward No. 25 , Bengaluru East , Bengaluru Urban, Karnataka - 560043",
PRM/KA/RERA/1250/304/PR/170524/006887,PRM/KA/RERA/1250/304/PR/170524/006887,Karnatka,SANJEEVINI AARNA,SANJEEVINI PROJECTS,Residential/Group Housing,Apartment,30-09-2027,Ongoing,9611,2,,
PRM/KA/RERA/1251/446/PR/210524/006924,PRM/KA/RERA/1251/446/PR/210524/006924,Karnatka,VAISHNO SERENE,VAISHNO BUILDERS,Residential/Group Housing,Apartment,31-03-2028,Ongoing,15314,3,"SY. NO. 17/2, 17/3, OF KODIGEHALLI VILLAGE & SY. NO. 24/2, 34/1, 34/2, 34/3, 34/4, 35 & 36, OF SADARAMANGALA VILLAGE` , KR Pura Hobli, Bangalore East, Bangalore Urban, Karnataka- 560067 , Bengaluru East , Bengaluru Urban, Karnataka - 560067",
PRM/KA/RERA/1251/308/PR/200923/006277,PRM/KA/RERA/1251/308/PR/200923/006277,Karnatka,JRC SANZIO,JRC PROJECTS,Residential/Group Housing,Row Houses,31-12-2027,New Project Launch,8723,1,"Sy.no1/3 of Bilchikkanahalli Village, Sarjapura - 1 Hobli , Anekal Taluk, Bangalore Urban District. , Anekal , Bengaluru Urban, Karnataka - 562125",
PRM/KA/RERA/1251/309/PR/030524/006839,PRM/KA/RERA/1251/309/PR/030524/006839,Karnatka,CONCORDE MAYFAIR,CONCORDE HOUSING CORPORATION PVT LTD,Mixed Development,,30-11-2028,New Project Launch,13551,5,,
PRM/KA/RERA/1251/472/PR/200515/003406,PRM/KA/RERA/1251/472/PR/200515/003406,Karnatka,ARVIND BEL AIR,ARVIND HEBBAL HOMES PRIVATE LIMITED,Residential/Group Housing,,30-06-2026,New Project Launch,12150,,"Survey no 52/3, Opp GKVK Campus, New Town Road, Yelahanka, North Bengaluru",
PRM/KA/RERA/1251/310/PR/041023/006307,PRM/KA/RERA/1251/310/PR/041023/006307,Karnatka,CASAGRAND FLAMINGO,CASA GRANDE GARDEN CITY BUILDERS PRIVATE LIMITED,Residential/Group Housing,Apartment,15-09-2026,New Project Launch,14264,1,"Sy No 50, Haralukunte Village , Begur Hobli , Bengaluru South , Bengaluru Urban, Karnataka - 560068",
PRM/KA/RERA/1251/446/PR/041123/006372,PRM/KA/RERA/1251/446/PR/041123/006372,Karnatka,BRIGADE SANCTUARY,BRIGADE ENTERPRISES LTD,Residential/Group Housing,Apartment,31-12-2028,New Project Launch,60399,8,"Sy. No. 27, 33/1, 34/1, 34/2 & 35 , Chikkavaderapura Village, Sarjapura Hobli, Anekal Taluk, Bangalore Urban District , Bengaluru East , Bengaluru Urban, Karnataka - 560087",
PRM/KA/RERA/1251/446/PR/270824/006981,PRM/KA/RERA/1251/446/PR/270824/006981,Karnatka,PRESTIGE RAINTREE PARK,PRESTIGE ESTATES PROJECTS LTD,Residential/Group Housing,Apartment,31-12-2028,New Project Launch,112652,18,"KATHA NO.1233, SY NO. 112/48, 19/1, 19/2, 20, 21/1, 21/2, 21/3, 21/4, 21/5A, 21/5B, 21/6, 21/7,and other survey numbers of RAMGONDANAHALLI VILLAGE , SY NO. 348/1, 348/2, 348/3, 348/4, 348/5, 348/6, 348/7, 349/2, 3, 350/1, 350/2, 350/3, 350/4, 350/5, 351/1, 351/2, 351/3, 351/4, 352/2, 353/1P, 353/2A, 353/2B, 353/3 OF AMANI BELLANDUR KHANE VILLAGE , Bengaluru East , Bengaluru Urban, Karnataka - 560001",
PRM/KA/RERA/1251/446/PR/280222/004736,PRM/KA/RERA/1251/446/PR/280222/004736,Karnatka,GODREJ PARK RETREAT,GODREJ PROPERTIES LIMITED,Residential/Group Housing,Apartment,27-02-2027,New Project Launch,29424,8,,
PRM/KA/RERA/1251/446/PR/300124/006599,PRM/KA/RERA/1251/446/PR/300124/006599,Karnatka,SREE ADITHYA LOTUS PARK,SREE ADITHYA DEVELOPERS,Residential/Group Housing,Apartment,30-09-2026,Ongoing,8093,2,"Old Sy No.18/2, New Converted Sy.No.18/9 and New Converted Sy.No.18/10, , Common BBMP Katha No.1122/18/9 & 18/10/219, Situated at Seegehalli Village, KR Puram Hobli, Bangalore East Taluk , Bengaluru East , Bengaluru Urban, Karnataka - 560049",
PRM/KA/RERA/1251/309/PR/271123/006440,PRM/KA/RERA/1251/309/PR/271123/006440,Karnatka,ORCHID SALISBURY,GOYAL HARIYANA ENTERPRISES,Residential/Group Housing,Apartment,31-12-2028,New Project Launch,24584,7,"KHATA NO. 8/16/2, SY NO 16 OF THIRUMENAHALLI VILLAGE, WARD NO 5 , YELAHANKA HOBLI , Bengaluru North , Bengaluru Urban, Karnataka - 560064",
PRM/KA/RERA/1251/310/PR/220601/004946,PRM/KA/RERA/1251/310/PR/220601/004946,Karnatka,PURVA PARK HILL (WING A),PURAVANKARA LIMITED,Residential/Group Housing,,31-12-2027,New Project Launch,2802,,"Survey No. 19 Mallasandra Village Uttarahalli Hobli, Off Kankanpura Road",
PRM/KA/RERA/1251/446/PR/080824/006965,PRM/KA/RERA/1251/446/PR/080824/006965,Karnatka,PRIDE EUPHORA,PRIDE HOUSING,Residential/Group Housing,Apartment,30-09-2027,New Project Launch,9696,3,,
PRM/KA/RERA/1251/308/PR/220202/004665,PRM/KA/RERA/1251/308/PR/220202/004665,Karnatka,MILLENIA MUTHANALLUR,NAMBIAR ENTERPRISES LLP,Residential/Group Housing,,30-11-2026,New Project Launch,15530,,"Sy. No. - 128/2 , 128/6 Muthanallur Village, Sarjapura Hobli, Anekal Taluk",
PRM/KA/RERA/1251/309/PR/181223/006491,PRM/KA/RERA/1251/309/PR/181223/006491,Karnatka,CONCORDE ANTARES,CONCORDE HOUSING CORPORATION PVT LTD,Residential/Group Housing,Apartment,22-12-2028,New Project Launch,26711,5,,
PRM/KA/RERA/1251/308/PR/100125/007377,PRM/KA/RERA/1251/308/PR/100125/007377,Karnatka,NAMBIAR DISTRICT 25 PHASE 1,NAMBIAR ENSEMBLERESIDENTIAL PROJECTS LLP,Residential/Group Housing,Apartment,26-01-2030,New Project Launch,35471,6,"Survey No. 171/1, 171/3, 171/4, 172/1, 172/2, 172/3, 251/1, 251/2 and 252/2 situated at Dommasandra Village, , Sarjapur Hobli, Anekal taluk, , Anekal , Bengaluru Urban, Karnataka - 560099",
PRM/KA/RERA/1251/308/PR/231123/006426,PRM/KA/RERA/1251/308/PR/231123/006426,Karnatka,SRI NANDANA GALAXY,SRI NANDANA BUILDERS,Residential/Group Housing,Apartment,31-12-2026,New Project Launch,4553,1,"Sy.No.48/2, Katha No.2386/48/2, Chambenahalli Village , Sarjapura Hobli , Anekal , Bengaluru Urban, Karnataka - 562125",
PRM/KA/RERA/1251/446/PR/060924/007008,PRM/KA/RERA/1251/446/PR/060924/007008,Karnatka,SATTVA SONGBIRD,SATTVA RESI PRIVATE LIMITED,Residential/Group Housing,Mixed,6/5/2029,New Project Launch,48460,5,"Survey No.16/1, Survey No.16/2 and Survey No.89, all situated at Cheemasandra Village, , Bidarahalli Hobli, Bangalore East Taluk, Budigere Road , Bengaluru East , Bengaluru Urban, Karnataka - 560049",
PRM/KA/RERA/1251/308/PR/151223/006479,PRM/KA/RERA/1251/308/PR/151223/006479,Karnatka,GRAND LAPALAZZO,TBC HOMES INFRA CORP,Plotted Development,,23-11-2025,New Project Launch,,,"Grand Lapalazzo Sy no 120, 121, 122/2, 122/3, 123/1, 123/2, 123/3, 123/6 , 124/1 , 124/2, 124/3, 37/5 37/7 Total mesuring 12 acre 29.5 gunts , Anekal , Bengaluru Urban, Karnataka - 560099",
PRM/KA/RERA/1251/308/PR/050924/006996,PRM/KA/RERA/1251/308/PR/050924/006996,Karnatka,DSR THE ADDRESS,DSR INFRAPROJECTS,Residential/Group Housing,Apartment,12/6/2029,New Project Launch,55341,6,"DSR THE ADDRESS bearing Sy No’s. 66/1, Sy no. 66/2 Sy no. 66/3, Sy no. 66/4, Sy no. 66/5, Sy no. 65/3, Sy no. 69/1, Sy no. 113/5, Sy no. 113/6, , Sy no. 113/7, Sy no. 114/11, Sy no. 114/7, Sy no. 114/10, situated at thigalachodadenahalli village, sarjapura hobli, anekal taluk, bengaluru urban district. , Anekal , Bengaluru Urban, Karnataka - 562125",
PRM/KA/RERA/1251/446/PR/141223/006468,PRM/KA/RERA/1251/446/PR/141223/006468,Karnatka,FOLIUM BY SUMADHURA PHASE-III,SUMADHURA INFRACON PRIVATE LIMITED,Residential/Group Housing,Apartment,31-12-2026,New Project Launch,11179,1,,
PRM/KA/RERA/1251/446/PR/200924/007055,PRM/KA/RERA/1251/446/PR/200924/007055,Karnatka,PURVI ARVINDAM,SAI PURVI INFRASTRUCTURES,Residential/Group Housing,Apartment,16-05-2027,Ongoing,4553,1,"BBMP KATHA No. 393, Municipal No. 44, , Sy No. 11/3, Balagere Village, , Bengaluru East , Bengaluru Urban, Karnataka - 560087",
PRM/KA/RERA/1251/446/PR/051024/007125,PRM/KA/RERA/1251/446/PR/051024/007125,Karnatka,SUMADHURA CAPITOL RESIDENCES,SUMADHURA INFRACON PRIVATE LIMITED,Residential/Group Housing,Apartment,31-12-2027,Ongoing,16592,4,,
PRM/KA/RERA/1251/310/PR/291223/006517,PRM/KA/RERA/1251/310/PR/291223/006517,Karnatka,GARUDADRI GARDENS,SRI GARUDADRI CONSTRUCTIONS,Residential/Group Housing,Apartment,10/6/2025,Ongoing,2932,1,"SY. NO. 63/4 AND SY. NO. 63/6, KATHA NO.1509/SY.NO.63/4 & 1511/SY.NO.63/6 , HEMMIGEPURA, KENGERI ZONE , Bengaluru South , Bengaluru Urban, Karnataka - 560060",
PRM/KA/RERA/1251/310/PR/151223/006489,PRM/KA/RERA/1251/310/PR/151223/006489,Karnatka,DS MAX SISTA GRAND,DS MAX PROPERTIES PRIVATE LIMITED,Residential/Group Housing,Apartment,31-12-2027,New Project Launch,8906,1,"Khatha No : Sy No 119/2, 119/3, 119/4 and 119/5 OF UTTARAHALLI , BOMMANAHALLI ZONE, BENGALURU IN WARD NO: 184 , Bengaluru South , Bengaluru Urban, Karnataka - 560061",
PRM/KA/RERA/1251/446/PR/311224/007332,PRM/KA/RERA/1251/446/PR/311224/007332,Karnatka,LORVEN CASCADE GARDEN,LORVEN VENTURES,Residential/Group Housing,Apartment,28-12-2028,New Project Launch,17411,4,"@ KATHA NO 82/598/548/116/2/1 SY NO 116/8,116/6,116/7,116/9,116/5,116/2,116/4 of , Nagondanahalli Village, BBMP Ward No. 84 , Bengaluru East , Bengaluru Urban, Karnataka - 560066",
PRM/KA/RERA/1251/446/PR/151223/006487,PRM/KA/RERA/1251/446/PR/151223/006487,Karnatka,ORCHID LIFE,GOYAL HARIYANA ASSOCIATES,Residential/Group Housing,Apartment,28-02-2030,New Project Launch,29238,5,"SY. NOs. 20,21,125/4,125/5,126/1,126/5,126/6 and 127/3 OF GUNJUR VILLAGE , VARTHUR HOBLI, WARD NO 149 , Bengaluru East , Bengaluru Urban, Karnataka - 560087",
PRM/KA/RERA/1250/303/PR/211024/007160,PRM/KA/RERA/1250/303/PR/211024/007160,Karnatka,SATTVA BHUMI,SHIRASA CONSTRUCTION PRIVATE LIMITED,Plotted Development,,30-12-2026,New Project Launch,,,"Survey No. 89/1, 90, 91, 92/1, 93/1, 94/2 and 95/2 of Chikkatathamangala Village , Vijayapura Hobli , Devanahalli , Bengaluru Rural, Karnataka - 562110",
PRM/KA/RERA/1251/308/PR/160124/006546,PRM/KA/RERA/1251/308/PR/160124/006546,Karnatka,FALCON BY BHP,BHP HOUSING,Residential/Group Housing,Apartment,31-12-2025,New Project Launch,11938,1,"Bikkanahalli Main Rd, Sarjapura, Buragunte, Karnataka 562125 , Bikkanahalli Main Rd, Sarjapura, Buragunte, Karnataka 562125 , Anekal , Bengaluru Urban, Karnataka - 562125",
PRM/KA/RERA/1250/304/PR/131224/007290,PRM/KA/RERA/1250/304/PR/131224/007290,Karnatka,EAST FIELD,URBANEST REALTY,Residential/Group Housing,Apartment,31-12-2029,New Project Launch,10976,2,"Property bearing No. 18, E-katha No. 150300401201200673 , (Earlier Survey No. 8/1, 8/4, 21/2, 21/12, 7/1) situated in Sompura Village, Yalachanayakanapura Village and Sonnadenahalli Village , Hosakote , Bengaluru Rural, Karnataka - 562114",
PRM/KA/RERA/1251/309/PR/220124/006568,PRM/KA/RERA/1251/309/PR/220124/006568,Karnatka,SNN ESTATES FELICITY,SNN BUILDERS PRIVATE LIMITED,Residential/Group Housing,Apartment,31-12-2028,Ongoing,26304,9,,
PRM/KA/RERA/1251/446/PR/140923/006261,PRM/KA/RERA/1251/446/PR/140923/006261,Karnatka,BHOO AABHARANA,BHOO DEVELOPERS,Residential/Group Housing,Apartment,30-04-2025,Ongoing,5416,4,,
PRM/KA/RERA/1251/446/PR/280222/004738,PRM/KA/RERA/1251/446/PR/280222/004738,Karnatka,FOLIUM BY SUMADHURA PHASE-I,SUMADHURA INFRACON PRIVATE LIMITED,Residential/Group Housing,Apartment,30-06-2025,New Project Launch,19862,2,,
PRM/KA/RERA/1251/446/PR/110522/004876,PRM/KA/RERA/1251/446/PR/110522/004876,Karnatka,DSR HIGHLAND GREENZ,DSR INFRA PROJECTS,Residential/Group Housing,Apartment,30-03-2026,New Project Launch,40873,4,,
PRM/KA/RERA/1251/446/PR/280222/004738,PRM/KA/RERA/1251/446/PR/280222/004738,Karnatka,FOLIUM BY SUMADHURA PHASE-I,SUMADHURA INFRACON PRIVATE LIMITED,Residential/Group Housing,Apartment,30-06-2025,New Project Launch,19862,2,,
PRM/KA/RERA/1251/310/PR/210422/004845,PRM/KA/RERA/1251/310/PR/210422/004845,Karnatka,CASAGRAND AQUENE,CASA GRANDE GARDEN CITY BUILDERS PVT LTD,Residential/Group Housing,Apartment,10/6/2025,New Project Launch,15276,2,,
PRM/KA/RERA/1251/472/PR/280324/006742,PRM/KA/RERA/1251/472/PR/280324/006742,Karnatka,AXIS OAKLYN,AXIS CONCEPT CONSTRUCTION PVT LTD,Residential/Group Housing,Apartment,31-03-2027,New Project Launch,4350,1,,
PRM/KA/RERA/1251/310/PR/240724/006948,PRM/KA/RERA/1251/310/PR/240724/006948,Karnatka,SATTVA SPRINGS,SATTVA RESI PRIVATE LIMITED,Residential/Group Housing,Villa,18-09-2027,Ongoing,22566,5,,
PRM/KA/RERA/1250/303/PR/110522/004869,PRM/KA/RERA/1250/303/PR/110522/004869,Karnatka,"AEROPOLIS, A PROJECT OF SATTVA GROUP",TRINAYANI REALTOR PRIVATE LIMITED,Residential/Group Housing,Apartment,9/7/2026,New Project Launch,41783,9,,
PRM/KA/RERA/1251/310/PR/120522/004879,PRM/KA/RERA/1251/310/PR/120522/004879,Karnatka,AQUA VISTA,POPPY REALTORS PRIVATE LIMITED,Residential/Group Housing,Apartment,31-12-2024,Ongoing,11707,3,,
PRM/KA/RERA/1251/446/PR/110522/004876,PRM/KA/RERA/1251/446/PR/110522/004876,Karnatka,DSR HIGHLAND GREENZ,DSR INFRA PROJECTS,Residential/Group Housing,Apartment,30-03-2026,New Project Launch,40873,4,,
PRM/KA/RERA/1251/446/PR/180424/006788,PRM/KA/RERA/1251/446/PR/180424/006788,Karnatka,SAI SILICON HEIGHTS,UNITED DEVELOPERS,Mixed Development,,31-12-2027,New Project Launch,11806,3,,
PRM/KA/RERA/1251/310/PR/220722/005096,PRM/KA/RERA/1251/310/PR/220722/005096,Karnatka,MARS THE PLANET,M/S MARS BUILDERS,Residential/Group Housing,Apartment,31-03-2029,Ongoing,9233,1,,
PRM/KA/RERA/1251/446/PR/020822/005125,PRM/KA/RERA/1251/446/PR/020822/005125,Karnatka,AROUND THE LIFE,KEYA HOMES PVT LTD,Residential/Group Housing,Apartment,30-06-2025,New Project Launch,18918,3,,
PRM/KA/RERA/1251/310/PR/040924/006989,PRM/KA/RERA/1251/310/PR/040924/006989,Karnatka,BIRLA OJASVI,BIRLA ESTATES PRIVATE LIMITED,Residential/Group Housing,Mixed,11/1/2031,New Project Launch,41429,4,,
PRM/KA/RERA/1251/446/PR/180424/006808,PRM/KA/RERA/1251/446/PR/180424/006808,Karnatka,VASWANI STARLIGHT,VASWANI ESTATES DEVELOPERS PRIVATE LIMITED,Residential/Group Housing,Apartment,31-12-2029,New Project Launch,20308,3,,
PRM/KA/RERA/1251/308/PR/101122/005438,PRM/KA/RERA/1251/308/PR/101122/005438,Karnatka,SNR SAFA,SNR SQUARE PVT LTD,Residential/Group Housing,Apartment,28-02-2025,New Project Launch,5300,4,,
PRM/KA/RERA/1250/307/PR/040524/006863,PRM/KA/RERA/1250/307/PR/040524/006863,Karnatka,GREEN GROVES,SATTVA INFRASTRUCTURE INDIA PRIVATE LIMITED,Plotted Development,,17-09-2026,Ongoing,,,,
