XID,Project Name,Unit Type,Area,Price,Area Type
426835,Tricity Aspire,3 BHK 906 Sq. Ft. Apartment,906 Sq. Ft.,Rs 1.71 Cr,(Carpet)
438068,Majestic Exotica,1 BHK 432 Sq. Ft. Apartment,432 Sq. Ft.,Rs 71.04 Lac,(Carpet)
438068,Majestic Exotica,1 BHK 441 Sq. Ft. Apartment,441 Sq. Ft.,Rs 72.46 Lac,(Carpet)
438068,Majestic Exotica,2 BHK 561 Sq. Ft. Apartment,561 Sq. Ft.,Rs 97.86 Lac,(Carpet)
438068,Majestic Exotica,2 BHK 747 Sq. Ft. Apartment,747 Sq. Ft.,Rs 1.27 Cr,(Carpet)
438068,Majestic Exotica,3 BHK 957 Sq. Ft. Apartment,957 Sq. Ft.,Rs 1.61 Cr,(Carpet)
438068,Majestic Exotica,3 BHK 1017 Sq. Ft. Apartment,1017 Sq. Ft.,Rs 1.70 Cr,(Carpet)
437137,Platinum The Reserve,3 BHK 1162 Sq. Ft. Apartment,1162 Sq. Ft.,Rs 2.72 Cr,(Carpet)
437137,Platinum The Reserve,3 BHK 1386 Sq. Ft. Apartment,1386 Sq. Ft.,Rs 3.25 Cr,(Carpet)
437137,Platinum The Reserve,4 BHK 2180 Sq. Ft. Apartment,2180 Sq. Ft.,Rs 5.11 Cr,(Carpet)
437137,Platinum The Reserve,4 BHK 2265 Sq. Ft. Apartment,2265 Sq. Ft.,Rs 5.31 Cr,(Carpet)
430973,Tricity Heritage,1 BHK 424 Sq. Ft. Apartment,424 Sq. Ft.,Rs 66.00 Lac,(Carpet)
430973,Tricity Heritage,2 BHK 628 Sq. Ft. Apartment,628 Sq. Ft.,Rs 97.00 Lac,(Carpet)
430973,Tricity Heritage,2 BHK 651 Sq. Ft. Apartment,651 Sq. Ft.,Rs 1.01 Cr,(Carpet)
437900,EV 23 Malibu West,1 BHK 320 Sq. Ft. Apartment,320 Sq. Ft.,Rs 94.95 Lac,(Carpet)
437900,EV 23 Malibu West,2 BHK 674 Sq. Ft. Apartment,674 Sq. Ft.,Rs 2.00 Cr,(Carpet)
437900,EV 23 Malibu West,2 BHK 694 Sq. Ft. Apartment,694 Sq. Ft.,Rs 2.06 Cr,(Carpet)
437900,EV 23 Malibu West,3 BHK 900 Sq. Ft. Apartment,900 Sq. Ft.,Rs 2.67 Cr,(Carpet)
437982,Nova 10 Elegance,3 BHK 1102 Sq. Ft. Apartment,1102 Sq. Ft.,Rs 1.89 Cr,(Carpet)
437982,Nova 10 Elegance,3 BHK 1230 Sq. Ft. Apartment,1230 Sq. Ft.,Rs 2.10 Cr,(Carpet)
437982,Nova 10 Elegance,4 BHK 2044 Sq. Ft. Apartment,2044 Sq. Ft.,Rs 3.76 Cr,(Carpet)
8072,Ruparel Ariana,2 BHK 770 Sq. Ft. Apartment,770 Sq. Ft.,Rs 2.36 Cr,(Carpet)
8072,Ruparel Ariana,2 BHK 804 Sq. Ft. Apartment,804 Sq. Ft.,Rs 2.46 Cr,(Carpet)
8072,Ruparel Ariana,3 BHK 1226 Sq. Ft. Apartment,1226 Sq. Ft.,Rs 3.76 Cr,(Carpet)
