XID,Project Name,Unit Type,Area,Price,Area Type
430664,Pranami Bliss,1 BHK 394 Sq. Ft. Apartment,394 Sq. Ft.,Rs 1.18 Cr,(Carpet)
430664,Pranami Bliss,2 BHK 533 Sq. Ft. Apartment,533 Sq. Ft.,Rs 1.59 Cr,(Carpet)
430664,Pranami Bliss,2 BHK 610 Sq. Ft. Apartment,610 Sq. Ft.,Rs 1.85 Cr,(Carpet)
414360,Atharv Aaradhyam,1 BHK 494 Sq. Ft. Apartment,494 Sq. Ft.,Rs 2.07 Cr,(Carpet)
414360,Atharv Aaradhyam,2 BHK 705 Sq. Ft. Apartment,705 Sq. Ft.,Rs 2.96 Cr,(Carpet)
414360,Atharv Aaradhyam,3 BHK 797 Sq. Ft. Apartment,797 Sq. Ft.,Rs 3.35 Cr,(Carpet)
414360,Atharv Aaradhyam,3 BHK 1040 Sq. Ft. Apartment,1040 Sq. Ft.,Rs 4.37 Cr,(Carpet)
414413,Sri Arthaya,1 BHK 408 Sq. Ft. Apartment,408 Sq. Ft.,Rs 1.07 Cr,(Carpet)
414413,Sri Arthaya,1 BHK 484 Sq. Ft. Apartment,484 Sq. Ft.,Rs 1.29 Cr,(Carpet)
414413,Sri Arthaya,2 BHK 559 Sq. Ft. Apartment,559 Sq. Ft.,Rs 1.46 Cr,(Carpet)
414413,Sri Arthaya,2 BHK 653 Sq. Ft. Apartment,653 Sq. Ft.,Rs 1.72 Cr,(Carpet)
414413,Sri Arthaya,3 BHK 743 Sq. Ft. Apartment,743 Sq. Ft.,Rs 1.94 Cr,(Carpet)
410696,Godrej Bliss Kandivali,1 BHK 405 Sq. Ft. Apartment,405 Sq. Ft.,Rs 1.01 Cr,(Carpet)
410696,Godrej Bliss Kandivali,1 BHK 413 Sq. Ft. Apartment,413 Sq. Ft.,Rs 1.03 Cr,(Carpet)
410696,Godrej Bliss Kandivali,2 BHK 686 Sq. Ft. Apartment,686 Sq. Ft.,Rs 1.71 Cr,(Carpet)
410696,Godrej Bliss Kandivali,2 BHK 739 Sq. Ft. Apartment,739 Sq. Ft.,Rs 1.84 Cr,(Carpet)
410696,Godrej Bliss Kandivali,3 BHK 944 Sq. Ft. Apartment,944 Sq. Ft.,Rs 2.35 Cr,(Carpet)
410696,Godrej Bliss Kandivali,3 BHK 985 Sq. Ft. Apartment,985 Sq. Ft.,Rs 2.46 Cr,(Carpet)
424154,Ashapura Rang Rekha,1 BHK 445 Sq. Ft. Apartment,445 Sq. Ft.,Rs 1.05 Cr,(Carpet)
424154,Ashapura Rang Rekha,2 BHK 616 Sq. Ft. Apartment,616 Sq. Ft.,Rs 1.45 Cr,(Carpet)
424154,Ashapura Rang Rekha,2 BHK 625 Sq. Ft. Apartment,625 Sq. Ft.,Rs 1.47 Cr,(Carpet)
424154,Ashapura Rang Rekha,3 BHK 738 Sq. Ft. Apartment,738 Sq. Ft.,Rs 1.74 Cr,(Carpet)
414637,Lakshdeep Delight Heritage,1 BHK 287 Sq. Ft. Apartment,287 Sq. Ft.,Rs 29.37 Lac,(Carpet)
414637,Lakshdeep Delight Heritage,1 BHK 330 Sq. Ft. Apartment,330 Sq. Ft.,Rs 33.77 Lac,(Carpet)
414637,Lakshdeep Delight Heritage,2 BHK 489 Sq. Ft. Apartment,489 Sq. Ft.,Rs 50.04 Lac,(Carpet)
414638,Fortune Florence,2 BHK 884 Sq. Ft. Apartment,884 Sq. Ft.,Rs 2.83 Cr,(Carpet)
414638,Fortune Florence,2 BHK 923 Sq. Ft. Apartment,923 Sq. Ft.,Rs 2.95 Cr,(Carpet)
414638,Fortune Florence,3 BHK 1101 Sq. Ft. Apartment,1101 Sq. Ft.,Rs 3.52 Cr,(Carpet)
414638,Fortune Florence,3 BHK 1106 Sq. Ft. Apartment,1106 Sq. Ft.,Rs 3.54 Cr,(Carpet)
410757,Sairaj Balaji Vishant,1 BHK 422 Sq. Ft. Apartment,422 Sq. Ft.,Rs 51.90 Lac,(Carpet)
410757,Sairaj Balaji Vishant,1 BHK 427 Sq. Ft. Apartment,427 Sq. Ft.,Rs 52.40 Lac,(Carpet)
410757,Sairaj Balaji Vishant,2 BHK 612 Sq. Ft. Apartment,612 Sq. Ft.,Rs 74.90 Lac,(Carpet)
410757,Sairaj Balaji Vishant,2 BHK 653 Sq. Ft. Apartment,653 Sq. Ft.,Rs 79.80 Lac,(Carpet)
415161,Hiranandani Empress Hill,3 BHK 1048 Sq. Ft. Apartment,1048 Sq. Ft.,Rs 5.52 Cr,(Carpet)
415161,Hiranandani Empress Hill,3 BHK 1335 Sq. Ft. Apartment,1335 Sq. Ft.,Rs 7.03 Cr,(Carpet)
415161,Hiranandani Empress Hill,4 BHK 1529 Sq. Ft. Apartment,1529 Sq. Ft.,Rs 8.05 Cr,(Carpet)
415161,Hiranandani Empress Hill,4 BHK 1579 Sq. Ft. Apartment,1579 Sq. Ft.,Rs 8.31 Cr,(Carpet)
418790,Ravi The Gateway,2 BHK 655 Sq. Ft. Apartment,655 Sq. Ft.,Rs 1.84 Cr,(Carpet)
418790,Ravi The Gateway,2 BHK 686 Sq. Ft. Apartment,686 Sq. Ft.,Rs 1.93 Cr,(Carpet)
418790,Ravi The Gateway,3 BHK 894 Sq. Ft. Apartment,894 Sq. Ft.,Rs 2.51 Cr,(Carpet)
418790,Ravi The Gateway,3 BHK 988 Sq. Ft. Apartment,988 Sq. Ft.,Rs 2.78 Cr,(Carpet)
411231,Sahakar Revanta,1 BHK 358 Sq. Ft. Apartment,358 Sq. Ft.,Rs 1.25 Cr,(Carpet)
411231,Sahakar Revanta,1 BHK 458 Sq. Ft. Apartment,458 Sq. Ft.,Rs 1.60 Cr,(Carpet)
411231,Sahakar Revanta,2 BHK 685 Sq. Ft. Apartment,685 Sq. Ft.,Rs 2.40 Cr,(Carpet)
411231,Sahakar Revanta,2 BHK 700 Sq. Ft. Apartment,700 Sq. Ft.,Rs 2.45 Cr,(Carpet)
411231,Sahakar Revanta,3 BHK 933 Sq. Ft. Apartment,933 Sq. Ft.,Rs 3.27 Cr,(Carpet)
411231,Sahakar Revanta,3 BHK 1005 Sq. Ft. Apartment,1005 Sq. Ft.,Rs 3.52 Cr,(Carpet)
